device_name,date,time,temp,humid,soil,soil_temp,salt,bat,batcharge,wifi_ssid
4417938f3de8,22-12-2022,16:25,24.7,36,28,4095.938,0,99,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,16:31,22.7,37,32,4095.938,0,95,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,16:36,21.7,35,35,4095.938,1,93,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,16:41,21.1,39,34,4095.938,3,93,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,16:46,20.8,43,35,4095.938,4,92,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,16:51,20.6,40,34,4095.938,5,92,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,16:56,20.5,38,35,4095.938,6,92,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,17:02,20.3,39,36,4095.938,7,81,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,17:07,20.1,48,36,4095.938,8,92,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,17:12,20,40,35,4095.938,8,80,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,17:17,19.9,44,36,4095.938,7,79,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,17:22,19.7,40,37,4095.938,9,91,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,17:28,19.6,41,36,4095.938,8,91,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,17:33,19.5,43,37,4095.938,7,78,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,17:38,19.5,39,35,4095.938,8,91,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,17:43,19.5,45,36,4095.938,7,91,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,17:48,19.3,44,38,4095.938,8,90,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,17:54,19.2,42,38,4095.938,7,90,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,17:59,19.1,39,40,4095.938,8,90,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,18:04,19.2,45,39,4095.938,6,90,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,18:09,19.2,43,38,4095.938,6,90,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,18:14,19.1,37,39,4095.938,6,78,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,18:20,19,39,39,4095.938,6,77,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,18:25,18.8,40,39,4095.938,7,78,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,18:30,18.6,41,40,4095.938,6,89,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,18:35,18.5,38,40,4095.938,6,89,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,18:40,18.4,41,42,4095.938,5,89,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,18:46,18.3,42,41,4095.938,5,89,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,18:51,18.2,44,41,4095.938,5,89,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,18:56,18.1,44,41,4095.938,5,89,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,19:01,18,44,42,4095.938,4,88,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,19:06,18.1,43,43,4095.938,3,89,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,19:11,18.1,44,43,4095.938,4,89,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,19:17,18.1,43,41,4095.938,4,89,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,19:22,18.1,43,41,4095.938,4,89,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,19:27,18,39,41,4095.938,3,89,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,19:32,18.1,44,44,4095.938,3,89,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,19:37,18.1,46,43,4095.938,2,89,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,19:42,18,42,40,4095.938,2,75,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,19:48,18,46,43,4095.938,2,88,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,19:53,17.9,39,42,4095.938,3,88,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,19:58,18,43,43,4095.938,2,88,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,20:03,18,39,43,4095.938,3,88,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,20:08,17.9,43,43,4095.938,2,88,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,20:14,17.8,41,44,4095.938,2,81,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,20:19,17.8,40,42,4095.938,1,88,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,20:24,17.8,42,45,4095.938,2,87,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,20:29,17.8,39,43,4095.938,1,87,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,20:34,17.8,39,44,4095.938,1,87,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,20:39,17.8,44,43,4095.938,1,87,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,20:45,17.6,42,43,4095.938,1,87,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,20:50,17.5,43,44,4095.938,0,87,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,20:55,17.5,43,45,4095.938,1,87,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,21:00,17.5,40,45,4095.938,1,86,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,21:05,17.5,42,43,4095.938,1,74,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,21:11,17.5,41,45,4095.938,0,86,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,21:16,17.5,42,44,4095.938,0,87,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,21:21,17.5,42,44,4095.938,0,87,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,21:26,17.4,45,43,4095.938,0,72,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,21:31,17.5,41,44,4095.938,0,87,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,21:37,17.5,44,46,4095.938,0,86,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,21:42,17.5,41,45,4095.938,0,86,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,21:47,17.5,41,45,4095.938,0,73,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,21:52,17.4,40,45,4095.938,0,86,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,21:57,17.4,41,44,4095.938,0,85,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,22:02,17.4,41,45,4095.938,0,86,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,22:08,17.4,41,44,4095.938,0,86,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,22:13,17.3,41,44,4095.938,0,85,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,22:18,17.2,42,45,4095.938,0,84,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,22:23,17.2,42,44,4095.938,0,70,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,22:29,17.2,41,45,4095.938,0,85,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,22:35,17.4,42,45,4095.938,0,83,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,22:40,17.5,42,45,4095.938,0,85,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,22:45,17.4,40,45,4095.938,0,70,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,22:50,17.5,42,45,4095.938,0,85,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,22:56,17.5,40,44,4095.938,0,85,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,23:01,17.5,42,43,4095.938,0,83,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,23:06,17.5,42,45,4095.938,0,70,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,23:11,17.5,40,46,4095.938,0,84,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,23:16,17.5,41,44,4095.938,0,85,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,23:22,17.5,41,44,4095.938,0,84,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,23:27,17.6,41,44,4095.938,0,85,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,23:32,17.5,41,44,4095.938,0,84,,Fly in the sky 2.4g
4417938f3de8,22-12-2022,23:37,17.4,41,45,4095.938,0,84,,Fly in the sky 2.4g
